Year,Population,Car_Occupant,Pedestrian,Motorcycle,Bicycle,Trucks,Total,Car_Per_100K,Ped_Per_100K,Motorcycle_Per_100K,Bicycle_Per_100K,Trucks_Per_100K,Total_Per_100K
1975,215973199,30601,7516,3180,1003,916,44525,14.2,3.5,1.5,0.5,0.4,20.6
1976,218035164,31724,7427,3306,914,1100,45523,14.5,3.4,1.5,0.4,0.5,20.9
1977,220239425,32823,7732,4099,922,1229,47878,14.9,3.5,1.9,0.4,0.6,21.7
1978,222584545,34923,7795,4574,892,1315,50331,15.7,3.5,2.1,0.4,0.6,22.6
1979,225055487,35026,8096,4892,932,1372,51093,15.6,3.6,2.2,0.4,0.6,22.7
1980,227224719,34996,8070,5138,965,1183,51091,15.4,3.6,2.3,0.4,0.5,22.5
1981,229465608,33711,7837,4896,936,1082,49301,14.7,3.4,2.1,0.4,0.5,21.5
1982,231664496,29656,7331,4449,864,917,43945,12.8,3.2,1.9,0.4,0.4,19
1983,233791903,29154,6826,4260,830,960,42589,12.5,2.9,1.8,0.4,0.4,18.2
1984,235824783,30094,7025,4602,838,1040,44257,12.8,3,2,0.4,0.4,18.8
1985,237923732,29848,6808,4562,869,941,43825,12.5,2.9,1.9,0.4,0.4,18.4
1986,240132841,32224,6779,4566,929,892,46087,13.4,2.8,1.9,0.4,0.4,19.2
1987,242289023,33145,6745,4034,940,821,46390,13.7,2.8,1.7,0.4,0.3,19.1
1988,244498836,34105,6870,3661,901,886,47087,13.9,2.8,1.5,0.4,0.4,19.3
1989,246819119,33599,6556,3135,822,822,45582,13.6,2.7,1.3,0.3,0.3,18.5
1990,249464396,32711,6482,3243,853,684,44599,13.1,2.6,1.3,0.3,0.3,17.9
1991,252153092,30810,5801,2805,836,650,41508,12.2,2.3,1.1,0.3,0.3,16.5
1992,255029699,29457,5549,2395,717,580,39250,11.6,2.2,0.9,0.3,0.2,15.4
1993,257782608,29994,5649,2445,806,590,40150,11.6,2.2,0.9,0.3,0.2,15.6
1994,260327021,30820,5489,2317,796,658,40716,11.8,2.1,0.9,0.3,0.3,15.6
1995,262803276,31914,5584,2226,828,634,41817,12.1,2.1,0.8,0.3,0.2,15.9
1996,265228572,32354,5449,2161,761,602,42065,12.2,2.1,0.8,0.3,0.2,15.9
1997,267783607,32343,5321,2116,811,717,42013,12.1,2,0.8,0.3,0.3,15.7
1998,270248003,31781,5228,2294,757,739,41501,11.8,1.9,0.8,0.3,0.3,15.4
1999,272690813,32008,4939,2483,750,747,41717,11.7,1.8,0.9,0.3,0.3,15.3
2000,282192162,32109,4763,2895,689,737,41945,11.4,1.7,1,0.2,0.3,14.9
2001,285102075,31938,4901,3195,729,691,42196,11.2,1.7,1.1,0.3,0.2,14.8
2002,287941220,32724,4851,3267,663,675,43005,11.4,1.7,1.1,0.2,0.2,14.9
2003,290788976,32166,4774,3710,626,703,42884,11.1,1.6,1.3,0.2,0.2,14.7
2004,293655404,31750,4675,4026,722,743,42836,10.8,1.6,1.4,0.2,0.3,14.6
2005,296410404,31455,4892,4575,784,758,43510,10.6,1.7,1.5,0.3,0.3,14.7
2006,299398484,30628,4795,4810,769,774,42708,10.2,1.6,1.6,0.3,0.3,14.3
2007,301621157,29155,4699,5174,699,745,41259,9.7,1.6,1.7,0.2,0.2,13.7
2008,304059724,25547,4414,5307,716,615,37423,8.4,1.5,1.7,0.2,0.2,12.3
2009,307006550,23507,4109,4467,628,449,33883,7.7,1.3,1.5,0.2,0.1,11
2010,309327143,22351,4302,4517,621,475,32999,7.2,1.4,1.5,0.2,0.2,10.7
2011,311583481,21413,4457,4630,680,555,32479,6.9,1.4,1.5,0.2,0.2,10.4
2012,313877662,21906,4818,4986,730,590,33782,7,1.5,1.6,0.2,0.2,10.8
2013,316059947,21361,4779,4691,747,589,32894,6.8,1.5,1.5,0.2,0.2,10.4
2014,318386329,21131,4910,4302,723,585,32744,6.6,1.5,1.4,0.2,0.2,10.3
2015,320738994,22741,5495,5026,828,598,35485,7.1,1.7,1.6,0.3,0.2,11.1
2016,323071755,23957,6080,5337,848,662,37806,7.4,1.9,1.7,0.3,0.2,11.7
2017,325122128,23866,6075,5229,800,680,37473,7.3,1.9,1.6,0.2,0.2,11.5
2018,326838199,23046,6374,5038,868,677,36835,7.1,2,1.5,0.3,0.2,11.3
2019,328329953,22557,6272,5044,856,680,36355,6.9,1.9,1.5,0.3,0.2,11.1
2020,329484123,24019,6516,5579,932,608,38824,7.3,2,1.7,0.3,0.2,11.8
